No;Nama Organisasi;;Profil Organisasi;Alamat Organisasi;"Kontak Lembaga/
Kontak Layanan";Email Lembaga;Layanan Yang Diberikan;
1;Upipa gow wonosobo;;"Badan Hukum SK Kemenkumham AHU003049.AH.01.07.TAHUN 2021
Berdiri sejak tanggal 21 April 2003 dan konsentrasi dalam kegiatan pendampingan perempuan korban kekerasan , advokasi, sosialisasi isue Ham perempuan dan kekerasan berbasis gender, pemberdayaan ekonomi dan peningkatan kapasitas bagi komunitas dan penyintas";Jalan Pasukan ronggolawe 19A Desa Wonosobo Timur, Wonosobo, Jawa Tengah;";+62 812-3754-0060";upipa_wsb07@yahoo.co.id;";Konseling dengan konselor komunitas
;Rumah aman
;Konsultasi hukum
;Mediasi
;Pendampingan hukum (Litigasi)
;Konseling dengan psikolog
;Pemberdayaan Ekonomi
;Layanan medis";
2;Yayasan Embun Pelangi;;"Yayasan Embun Pelangi (YEP) adalah lembaga yang berbentuk Yayasan dengan alamat Komplek naggrek permai blok k no 22 baloi indah kecamatan lubuk baja Kota Batam Provinsi Kepulauan Riau. yang didirikan berdasarkan Akte Notaris Hanugerah, SH No. 26, pada tanggal 30 Oktober 2008. Di perbaharui melalui Akta Notaries Markus Gunawan, S.H., M.Kn.Nomor notaris 29/Not.MG/IV/2014 dengan No.AKTA 104 dan izin KEMENKUMHAM No. AHU-2790.AH.01.04. Tahun 2014 dalam bentuk Yayasan. Nama Yayasan Embun Pelangi sendiri dipilih dengan dasar mewakili keberagaman dan berwarna seperti pelangi, namun bisa menyejukkan dan memberi harapan seperti embun. Unsur keberagaman terlihat dari keberagaman sumber daya manusia yang berasal dari berbagai suku, etnis dan agama di Indonesia, serta keberagaman program yang dijalankan untuk mewujudkan visi dan misi organisasi. 
Visi YEP adalah Meningkatkan Perlindungan Perempuan dan Anak Serta Kesejahteraan Masyarakat Berbasis HAM. Semangat awal mendirikan lembaga ini adalah melihat fenomena yang terjadi di wilayah Kepulauan Riau khususnya Batam bahwa tingginya pertumbuhan kasus HIV dan AIDS, Pecandu NAPZA, kasus-kasus kekerasan terhadap anak, Perempuan dan Trafficking, maka didirikanlah Yayasan Embun Pelangi sebagai wadah untuk kegiatan / program Pencegahan dan Penanggulangan HIV dan AIDS, Pengurangan Dampak Buruk Penggunaan dan Penyalahgunaan NAPZA, Perlindungan anak dan perempuan, Penguatan, Pendampingan  sampai ke Pemulangan Korban. 
Orang-orang yang menjadi inisiator dari berdirinya Yayasan ini terdiri dari:
1. Efrizal, SE – Direktur di Yayasan Batam Tourist Development Board (YBTDB).
2. Irwan Setiawan – Ketua Yayasan Setara Kita (Setara).
3. Dra. Friska Laurika Munthe – Direktur di Yayasan Habitat Batam.Dibantu oleh 2 orang aktivis lainnya sebagai volunteer yang membantu dan mendorong berdirinya Yayasan Embun Pelangi, yaitu:
1. Drs. Benny Kusmajadi – Kepala Dinas Sosial Provinsi Kepulauan Riau (saat ini telah Purna Tugas)
2. Dr. Lanny Harjanti (UNFPA – United Nation Fund for Population Activities).
Program kerja Yayasan Embun Pelangi terdiri dari 
1. pencegahan dan Penanganan kasus kekerasan dan eksploitasi seksual terhadap perempuan dan anak
2. Pencegahan dan penanganan Korban tindak Pidana Perdagangan Orang
3. Pencegahan dan penanganan HIV-AIDS, tubercolosis dan penyakit menular lainnya pada masyarakat
4. Pencegahan dan penangulangan NAPZA bagi komunitas
5. Pemberdayaan masyarakat dan orang muda di wilayah hinterland
Misi lembaga adalah 
1. Meningkatkan Keterlibatan Masyarakat dalam Penanggulangan Masalah Kekerasan, Eksploitasi, Tindak Pidana Perdagangan Orang, Perempuan Pekerja Migran, Penyakit Menular dan NAPZA.
2. Menyediakan Layanan Penjangkauan dan Pendampingan yang Efektif bagi Masyarakat yang Memerlukan.
3. Meningkatkan Kapasitas Kelompok Masyarakat melalui Pelatihan.
4. Mendorong pemberdayaan penyintas melalui kelompok dukungan sebaya.
5. Melakukan Advokasi kepada Pemerintah dalam Rangka Peningkatan
6. Sarana dan Prasarana untuk Pemberdayaan Kelompok Masyarakat.
7. Memperluas Jaringan Kerjasama antar Komunitas dan Jaringan dalam
8. Perkembangan Program dan Pendanaan.
9. Melakukan Studi dan Penelitian untuk Pengembangan Program.
10Meningkatkan Kualitas Management lembaga yang Efektif dan Efisien.
11. Mendirikan Unit Usaha Internal dalam Rangka menunjang pendanaan
yayasan.";Komplek Anggrek permau blok k no 22 Desa Desa Baloi Indah, Kecamatan Lubuk Baja, Kota Batam, Kepulauan Riau;";(0778) 426570
;085264386557";yayasanembunpelangi_kepri@yahoo.com;";Konsultasi hukum
;Pendampingan hukum (Litigasi)
;Konseling dengan konselor komunitas 
;Rumah aman";
3;Perkumpulan Kediri Bersama Rakyat (KIBAR);;"Pada awal berdirinya KIBAR berbentuk Lembaga Swadaya Masyarakat (LSM). LSM sendiri dimaknai sebagai suatu komunitas yang terdiri atas individu-individu yang memiliki komitmen dan kepedulian untuk secara bersama memajukan bangsa, dengan berperan sebagai katalisator untuk penguatan civil society.  Berdasar landasan itulah, KIBAR didirikan atas inisiatif beberapa aktivis LSM dan mahasiswa yang memandang bahwa situasi dan kondisi di wilayah Kediri perlu didorong kondusifitas pergerakan civil society-nya. Penguatan civil society diperlukan antara lain untuk meningkatkan akses dan partisipasi rakyat dalam pengelolaan sumberdaya politik, ekonomi, sosial dan budaya serta masalah publik lainnya.
Aktivitas KIBAR mulanya didominasi oleh sektor pertanian dan pedesaan berdasarkan latar belakang kompetensi dan pendidikan para pendirinya. Aktivitas pemberdayaan perempuan diawali saat Ketua KIBAR pada saat itu dipercaya menjadi Ketua Komisi Perlindungan Perempuan dan Anak (KPPA) Kota Kediri didukung adanya Program Peningkatan Partisipasi Politik Perempuan dengan Isu Kekerasan Dalam Rumah Tangga (KDRT) di tahun 2006. Melalui berbagai pelatihan dan kegiatan capacity building tentang kekerasan terhadap perempuan, mulai dari penyadaran, penanganan hingga advokasi kebijakan, staf KIBAR menerima pengaduan kasus dan melakukan penanganan bagi perempuan korban kekerasan. Di wilayah Kediri dan sekitarnya pada saat itu belum ada organisasi yang melakukan penanganan kasus kekerasan terhadap perempuan menjadi pendorong lain adanya program ini di KIBAR, KIBAR didirikan atas inisiatif beberapa aktivis LSM dan mahasiswa yang memandang bahwa situasi dan kondisi di wilayah Kediri perlu didorong kondusifitas pergerakan civil society-nya. Penguatan civil society diperlukan antara lain untuk meningkatkan akses dan partisipasi rakyat dalam pengelolaan sumberdaya politik, ekonomi, sosial dan budaya serta masalah publik lainnya.
Aktivitas KIBAR mulanya didominasi oleh sektor pertanian dan pedesaan berdasarkan latar belakang kompetensi dan pendidikan para pendirinya. Aktivitas pemberdayaan perempuan diawali saat Ketua KIBAR pada saat itu dipercaya menjadi Ketua Komisi Perlindungan Perempuan dan Anak (KPPA) Kota Kediri didukung adanya Program Peningkatan Partisipasi Politik Perempuan dengan Isu Kekerasan Dalam Rumah Tangga (KDRT) di tahun 2006. Melalui berbagai pelatihan dan kegiatan capacity building tentang kekerasan terhadap perempuan, mulai dari penyadaran, penanganan hingga advokasi kebijakan, staf KIBAR menerima pengaduan kasus dan melakukan penanganan bagi perempuan korban kekerasan. Di wilayah Kediri dan sekitarnya pada saat itu belum ada organisasi yang melakukan penanganan kasus kekerasan terhadap perempuan menjadi pendorong lain adanya program ini di KIBAR.";Jalan Mawar III No. 6 RT 003 RW 001 Kelurahan Bawang Kecamatan Pesantren Kota kediri, Jawa Timur;";+62 812-3069-9906";kibarkediri@yahoo.com;";Pendampingan hukum (Litigasi)
;Konsultasi hukum
;Konseling dengan konselor komunitas";
4;WCC Mawar Balqis;;WCC Mawar Balqis merupakan lembaga pendampingan perempuan dan anak korban kekerasan berbasis gender. Lembaga ini berdomisili di desa Arjawinangun Kabupaten Cirebon. Awalnya lembaga ini merupakan Puan Amal Hayati yang didirikan oleh ibu Sinta Nuriyah Wahid (istri alm KH. Abdurahman Wahid/Gus Dur) pada tahun 2000. Lalu pada tahun 2001 lembaga ini dikukuhkan menjadi WCC Balqis.;Jl. Sutan Syahrir No.22 Desa Arjawinangun, Kecamatan Arjawinangun, Cirebon, Jawa Barat;";(0231) 358444
;(082211300501)";wccmawarbalqis@yahoo.com;";Konsultasi hukum
;Pendampingan hukum (Litigasi)
;Mediasi
;Layanan medis
;Konseling dengan psikolog
;Rumah aman
;Konseling dengan konselor komunitas
;Pemberdayaan Ekonomi";
5;Organisasi Perubahan Sosial Indonesia (OPSI);;"Organisasi Perubahan Sosial Indonesia (OPSI) adalah jaringan nasional yang dipimpin oleh komunitas yang didirikan, dijalankan dan didedikasikan untuk pekerja seks di Indonesia. OPSI dibentuk pada 28 Oktober 2009 dengan          tujuan untuk memperjuangkan terpenuhinya hak-hak konstitusi pekerja seks sebagai warga negara, menghilangkan stigma terhadap pekerja seks, mendorong terlibatnya pekerja seks secara penuh dalam pengambilan kebijakan program penanggulangan HIV & AIDS, dan mendorong adanya pengakuan negara Indonesia atas status pekerja seks.
 
Keanggotaan OPSI terdiri dari pekerja seks dan mantan pekerja seks, baik perempuan, transgender maupun laki-laki. Saat ini, OPSI tergabung sebagai anggota Asia Pasik Network of Social Workers (APNSW), NSWP (Global Network of Sex Work Projects) dan Global Alliance Againt Trafic for Woman (GAATW).";Tebet Barat Dalam IV  K no 14, Tebet Barat, Tebet, Jakarta Selatan, DKI Jakarta;";021 22790494";secretariat@opsi-network.org;";Konseling dengan konselor komunitas";
6;Ikatan Perempuan Positif Indonesia;;"IPPI adalah Jaringan Nasional untuk perempuan yang hidup dengan HIV dan terdampak HIV di Indonesia. Organisasi ini diinisiasi, digerakan oleh perempuan yang hidup dengan HIV; berdiri sejak 17 Juni 2006. Visi IPPI adalah Terwujudnya perempuan dengan HIV dan yang terdampak sehingga  berdaya,  berkualitas hidup tinggi dan setara dengan warga negara Indonesia lainnya dalam bidang kesehatan, sosial, pendidikan, hukum dan ekonomi.";Jl. Otista Raya Gang Mangga RT 01 RW 03 No.18a, Bidara Cina, Jatinegara, Jakarta Timur, DKI Jakarta;";DM instagram @IPPI_Indonesia";ippi.indonesia@yahoo.com;";Hanya menerima pengaduan dari korban dan melakukan rujukan";
7;Swara Parangpuan Sulut;;"Swara Parangpuan Sulut didirikan pada tanggal 8 Juni 1998, untuk waktu yang tidak ditentukan, berasaskan Pancasila dan berlandaskan UUD 1945, dilegalformalkan dengan Akte Notaris Nomor 30 pada tanggal 18 Mei 1999, dan terdaftar pada Pengadilan Negeri Manado dengan nomor 216/Ya/1999, pada hari Rabu tanggal, 19 Mei 1999. Swara Parangpuan Sulut merupakan Lembaga Non Pemerintah yang tidak berorientasi pada aliran politik tertentu dan menfocuskan pada  pemenuhan hak-hak asasi perempuan terutama perempuan korban kekerasan berbasis gender. Semangat awal untuk melakukan perubahan bagi masyarakat Sulut terutama perempuan tentang relasi hubungan yang adil dan setara dalam proses berbangsa dan dalam kehidupan social masyarakat maupun kedudukanya dihadapan hokum. Swara Parangpuan bersama dengan kelompok yang didampinginya berusaha untuk memberikan perlindungan kepada perempuan korban kekerasan melalui pendampingan dan secara simultan melakukan advokasi kebijakan yang bermuara pada rasa keadilan terhadap perempuan sebagai elemen penting dalam proses pembangunan. Untuk mewujudkan hal tsb, dilakukan satu model pengumpulan data yang telah digunakan sebagai salah satu sumber data Nasional pada Komnas Perempuan dan juga melakukan penguatan pada kelompok-kelompok masyarakat melalui berbagai pendidikan kritis untuk dapat melakukan proses pengawalan terhadap berbagai kasus kekerasan yang dihadapi perempuan dan untuk menyampaikan aspirasinya terhadap upaya perbaikan kebijakan daerah.
 
Visi :
Kedaulatan perempuan untuk kesetaraan dan keadilan Gender
 
Misi
1.         Mendorong hadirnya Kebijakan yang Berkeadilan Gender.
2.         Melakukan Pendampingan Bagi Perempuan Korban Kekerasan Berbasis Gender.
3.         Memperkuat kapasitas kepemimpinan perempuan melalui Pendidikan dan pengembangan. 
4.         Melakukan Kajian, Advokasi dan Publikasi";Jl. Pogidon Raya Nomor 108, Mahawu, Tuminting, Manado, Sulawesi Utara;";0431-8803563
;0813 4437 6738 
;0852 5655 8308";swaraparangpuansulut@hotmail.com;";Konseling dengan psikolog
;Mediasi
;Konseling dengan konselor komunitas
;Konsultasi hukum";
8;Bale Perempuan Bekasi;;Bale Perempuan Bekasi merupakan salah satu lembaga yang didirikan pada Maret 2016. Bale Perempuan Bekasi berdiri dilatarbelakangi oleh adanya kepedulian pada situasi dari kekerasan dan diskriminasi yang dihadapi oleh perempuan yang terjadi di dalam keluarga, komunitas maupun ruang publik di Kota Bekasi. Salah satu tujuan lembaga ini adalah untuk mendorong mekanisme perlindungan perempuan dan anak korban, serta mendorong pencegahan kekerasan terhadap perempuan berbasis komunitas. Bale Perempuan Bekasi merupakan salah satu lembaga layanan yang melakukan pendampingan, advokasi dan pendidikan untuk penghapusan kekerasan terhadap Perempuan di Kota/Kabupaten Bekasi.;Perumahan Mutiara Cibubur Residence Jl. Raya Hankam Gang Gancen No. 43 Blok C.7 Jati Ranggon, Jatisampurna, Kota Bekasi, Jawa Barat;";085158824741";baleperempuanoffice@gmail.com;";Konsultasi hukum
;Pendampingan hukum (Litigasi)
;Konseling dengan psikolog";
9;Talita Kum;;"Lembaga Talita Kum adalah sebuah organisasi non-profit, independen, dan mandiri yang diinisiasi oleh
individu-individu yang berasal dari komunitas Lesbian, Biseksual, Transgender Female to Male/Priawan
(LBT), aktivis gerakan mahasiswa, aktivis organisasi sosial, yang berkomitmen pada perjuangan untuk
pengakuan dan penegakan HAM bagi kelompok LBT. Didirikan pertama kali pada tanggal 08 Maret 2009 dan
didaftarkan secara resmi pada tanggal 30 Juli 2010 melalui Akta Notaris No. 97 di kantor Notaris Sunarto, SH
jl. Prof. Dr. Supomo 20 A Surakarta dalam bentuk Perkumpulan.
Sejak berdiri Talita Kum berkedudukan di Surakarta, Jawa Tengah oleh karenanya penguatan hak komunitas
dilakukan kepada komunitas LBT di Surakarta dan sekitarnya. Lebih lanjut, Talita Kum juga melakukan kerja
untuk membangun kesadaran masyarakat melalui pendidikan publik dan advokasi HAM. Hal ini dilakukan
dalam upaya untuk mewujudnyatakan pranata sosial di masyarakat yang memberikan dukungan atas
pemenuhan HAM LBT.
Dalam perkembangan kerjanya, Talita Kum melakukan penguatan dan pendidikan pada komunitas dengan
karakteristik seks betina atau female yang mengidentifikasi diri sebagai queer dan identitas non-biner lainnya;
melakukan perluasan kerja sampai ke area Pantura (Pantai Utara Jawa) seperti Kudus, Jepara, dan Pati; serta
melakukan penguatan CBO yang bekerja untuk pemenuhan LBTQ+ di luar area kerja Jawa Tengah. Lebih
lanjut, Talita Kum juga memetakan bahwa kekerasan dan diskriminasi yang dialami komunitas LBTQ+ terjadi
karena heteronormativitas, homofobia, dan transfobia masih langgeng dan dilegitimasi dalam kerangka/produk
hukum, norma dan nilai agama serta keagamaan. Sehingga, walau kerja-kerja penguatan komunitas,
pendidikan publik dan advokasi HAM LBTQ+ telah dilakukan, Talita Kum menyadari belum adanya
perubahan dan transformasi sosial yang terjadi di masyarakat untuk kehidupan komunitas LBTQ+ yang layak.
Berdasarkan situasi tersebut diatas, Talita Kum menyadari bahwa kerja-kerja yang dilakukan adalah upaya
untuk mewujudkan komunitas LBTQ+ yang bebas dari kekerasan dan setara sebagai warga negara Indonesia.";Kantor Virtual: Jl. Wora Jl.Wora Wari No. 3 Sriwedari, Laweyan, Kota Surakarta, Jawa Tengah;;talitakum.surakarta@gmail.com;";Mediasi
;Evakuasi
;Pemberdayaan Ekonomi
;Konseling dengan konselor komunitas";
10;Women's Crisis Center Jombang;;"Women’s Crisis center Jombang adalah sebuah organisasi non pemerintahan yang begerak dalam pendampingan perempuan korban kekerasan berbasis gender. Berdiri sejak 23 Mei 1999 hingga sekarang telah melakukan berbagai program pelayanan perempuan korban kekerasan, pendidikan masyarakat dan advokasi kebijakan.
 
Sebagai mandat dalam pemenuhan hak asasi manusia, WCC Jombang telah menghasilkan dokumentasi dalam kerja pendampingan perempuan korban kekerasan melalui layanan non litigasi : Konsultasi Hukum, konsultasi psikologi, mediasi, penyuluhan hukum, advokasi kasus dan layanan Hak Kesehatan Seksual dan Reproduksi, serta layanan litigasi mencakup aspek hukum pidana maupun perdata dalam kasus kekerasan terhadap perempuan berbasis gender. 
 
Catatan Tahunan WCC Jombang 2017 - 2022, mendokumentasikan  sebanyak 476 perempuan menjadi korban kekerasan berbasis gender baik dalam lingkup publik maupun domestik. Hal ini menunjukan tidak ada jaminan ruang aman bagi perempuan untuk terbebas dari kekerasan berbasis gender tidak terkecuali di lingkungan satuan pendidikan termasuk pendidikan berbasis keagamaan seperti pesantren. 
  
2.Adapun visi dan misi WCC Jombang adalah :
 
Visi :
 
Terciptanya masyarakat yang adil Gender 
 
      Misi :
 
1.Memberikan pelayanan langsung bagi perempuan korban kekerasan 
2.Membangun kesadaran kritis masyarakat tentang isu Kekerasan Terhadap 
3.Perempuan Berbasis Gender 
4.Melakukan Pengorganisasian masyarakat berbasis komunitas sebagai upaya 
5.penghapusan Kekerasan Terhadap Perempuan 
6.Melakukan pemberdayaan untuk kemandirian perempuan 
7.Melakukan dan mendorong perubahan kebijakan dan sistem hukum yang berkeadilan Gender 
8.Melakukan Pelayanan langsung kepada perempuan difabel korban kekerasan
9.Memperkuat kapasitas perempuan dalam pengeloaan Sumber Daya Alam";Jl. Patimura Selatan No 7 Blok B  Jombang, Jawa Timur;";0321-8495968
;08123502062";wccjombang@gmail.com;";Rumah aman
;Mediasi
;Konseling dengan konselor komunitas
;Pendampingan hukum (Litigasi)
;Pemberdayaan Ekonomi
;Konseling dengan psikolog
;Layanan medis
;Support Group - Trauma Healling Penyintas kekerasan seksual";
